freq;euc;cana;ban;coco;cafe;gesso
236.29;25.98;17.78;24.48;19.13;14.04;41.09
239.73;25.97;17.68;24.78;19.13;14.03;41.02
243.22;25.89;17.58;25.11;19.09;14.01;40.89
246.75;25.91;17.51;25.47;19.03;13.97;40.73
250.34;26.07;17.51;25.76;18.96;13.89;40.53
253.98;26.24;17.56;25.87;18.87;13.78;40.31
257.68;26.28;17.62;25.72;18.78;13.66;40.09
261.43;26.20;17.68;25.39;18.70;13.58;39.91
265.23;26.13;17.75;25.02;18.65;13.57;39.79
269.09;26.14;17.82;24.73;18.61;13.62;39.72
273.00;26.21;17.87;24.55;18.60;13.70;39.67
276.97;26.26;17.89;24.47;18.64;13.79;39.64
281.00;26.22;17.87;24.45;18.74;13.85;39.59
285.09;26.12;17.80;24.48;18.90;13.90;39.52
289.23;25.99;17.68;24.59;19.11;13.91;39.42
293.44;25.86;17.53;24.77;19.32;13.91;39.30
297.71;25.75;17.35;25.00;19.47;13.89;39.17
302.04;25.68;17.16;25.24;19.52;13.85;39.04
306.43;25.65;16.99;25.47;19.48;13.79;38.93
310.89;25.69;16.85;25.62;19.33;13.68;38.85
315.41;25.80;16.76;25.67;19.09;13.53;38.82
320.00;25.96;16.73;25.61;18.80;13.34;38.86
324.66;26.07;16.76;25.50;18.52;13.15;38.98
329.38;26.04;16.84;25.39;18.33;12.99;39.19
334.17;25.84;16.94;25.32;18.21;12.90;39.44
339.03;25.55;17.02;25.31;18.17;12.84;39.67
343.96;25.25;17.09;25.35;18.17;12.81;39.86
348.96;25.03;17.17;25.47;18.21;12.80;40.02
354.04;24.87;17.27;25.65;18.29;12.81;40.17
359.19;24.71;17.40;25.86;18.41;12.84;40.33
364.41;24.49;17.56;26.08;18.60;12.90;40.53
369.71;24.22;17.72;26.29;18.82;12.96;40.74
375.09;23.92;17.90;26.49;19.09;13.02;40.97
380.55;23.69;18.10;26.73;19.39;13.07;41.21
386.08;23.58;18.33;27.03;19.69;13.12;41.45
391.70;23.63;18.59;27.36;19.99;13.18;41.68
397.40;23.85;18.88;27.66;20.26;13.25;41.90
403.18;24.17;19.21;27.90;20.49;13.34;42.13
409.04;24.51;19.58;28.09;20.70;13.48;42.37
414.99;24.84;19.98;28.31;20.90;13.64;42.60
421.03;25.16;20.40;28.62;21.14;13.83;42.85
427.15;25.55;20.82;29.10;21.44;14.07;43.10
433.36;26.08;21.25;29.73;21.82;14.35;43.38
439.67;26.78;21.69;30.46;22.24;14.67;43.67
446.06;27.58;22.15;31.20;22.63;14.99;43.98
452.55;28.39;22.61;31.81;22.95;15.29;44.30
459.13;29.11;23.08;32.25;23.18;15.55;44.62
465.81;29.72;23.54;32.53;23.39;15.79;44.94
472.58;30.19;23.98;32.73;23.62;16.01;45.28
479.46;30.62;24.41;32.91;23.92;16.24;45.67
486.43;31.15;24.86;33.12;24.29;16.50;46.14
493.51;31.87;25.38;33.41;24.72;16.79;46.76
500.69;32.76;26.00;33.79;25.19;17.11;47.57
507.97;33.67;26.73;34.21;25.66;17.46;48.53
515.36;34.51;27.54;34.59;26.11;17.84;49.59
522.85;35.27;28.42;34.90;26.53;18.25;50.68
530.46;36.00;29.32;35.17;26.97;18.74;51.75
538.17;36.75;30.21;35.53;27.51;19.33;52.77
546.00;37.56;31.05;36.07;28.19;20.04;53.71
553.94;38.49;31.80;36.86;29.07;20.88;54.65
562.00;39.62;32.44;37.88;30.11;21.84;55.72
570.18;41.00;32.99;39.05;31.26;22.88;57.03
578.47;42.68;33.45;40.24;32.47;23.95;58.55
586.88;44.63;33.85;41.37;33.69;25.02;60.05
595.42;46.79;34.21;42.42;34.86;26.04;61.21
604.08;49.03;34.53;43.44;35.92;26.95;61.82
612.87;51.24;34.79;44.50;36.85;27.73;61.92
621.78;53.26;34.97;45.69;37.63;28.39;61.72
630.82;54.85;35.06;47.06;38.25;28.93;61.40
640.00;55.60;35.07;48.70;38.65;29.36;61.04
649.31;55.27;35.04;50.65;38.75;29.67;60.64
658.75;53.97;34.98;52.83;38.51;29.83;60.29
668.34;52.25;34.91;54.95;38.03;29.83;60.07
678.06;50.67;34.80;56.67;37.44;29.69;60.04
687.92;49.54;34.65;57.83;36.90;29.44;60.12
697.93;48.83;34.45;58.56;36.48;29.13;60.10
708.08;48.42;34.24;59.09;36.22;28.81;59.73
718.38;48.19;34.05;59.54;36.12;28.52;58.92
728.83;48.11;33.94;59.88;36.17;28.30;57.83
739.43;48.15;33.92;60.05;36.39;28.15;56.72
750.18;48.28;33.99;60.05;36.74;28.04;55.82
